step,total_vehicles,total_queue,total_waiting
0,1,1,0.0
1,2,1,0.0
2,3,1,0.0
3,4,1,0.0
4,5,1,0.0
5,6,1,0.0
6,7,1,0.0
7,8,1,0.0
8,9,1,0.0
9,10,1,0.0
10,10,0,0.0
11,11,1,0.0
12,11,1,0.0
13,13,3,1.0
14,13,1,2.0
15,14,2,3.0
16,16,3,4.0
17,17,2,5.0
18,18,2,6.0
19,19,2,7.0
20,20,2,8.0
21,20,2,9.0
22,21,2,10.0
23,22,3,12.0
24,22,3,15.0
25,24,7,20.0
26,24,5,25.0
27,24,5,30.0
28,26,8,36.0
29,27,7,42.0
30,29,10,50.0
31,30,10,59.0
32,30,10,69.0
33,32,13,80.0
34,33,14,93.0
35,34,14,106.0
36,35,14,119.0
37,35,14,132.0
38,35,14,146.0
39,35,15,161.0
40,36,17,177.0
41,37,17,193.0
42,38,19,211.0
43,39,19,229.0
44,41,20,247.0
45,41,14,160.0
46,41,9,78.0
47,41,4,14.0
48,42,2,4.0
49,43,4,7.0
50,43,5,11.0
51,45,9,18.0
52,45,8,25.0
53,46,11,35.0
54,46,12,47.0
55,47,13,59.0
56,48,15,73.0
57,49,16,88.0
58,49,16,103.0
59,49,16,119.0
60,50,18,136.0
61,51,19,154.0
62,53,20,172.0
63,52,20,192.0
64,54,23,213.0
65,55,24,236.0
66,56,27,249.0
67,57,26,273.0
68,57,26,299.0
69,59,29,326.0
70,59,29,354.0
71,59,30,383.0
72,60,30,412.0
73,59,31,443.0
74,61,33,465.0
75,62,31,486.0
76,63,32,508.0
77,63,31,533.0
78,65,34,561.0
79,65,32,590.0
80,64,32,621.0
81,66,35,653.0
82,67,36,688.0
83,68,36,723.0
84,70,40,761.0
85,71,39,799.0
86,71,39,837.0
87,71,41,878.0
88,72,43,920.0
89,73,43,962.0
90,74,41,762.0
91,75,36,585.0
92,76,33,477.0
93,75,29,398.0
94,76,31,345.0
95,77,32,304.0
96,77,29,266.0
97,78,29,236.0
98,79,31,236.0
99,80,31,219.0
100,80,28,215.0
101,79,28,174.0
102,79,28,174.0
103,80,30,192.0
104,81,32,213.0
105,81,32,238.0
106,83,36,268.0
107,84,37,302.0
108,85,40,341.0
109,87,43,379.0
110,89,46,418.0
111,89,44,459.0
112,90,45,500.0
113,89,48,546.0
114,90,48,592.0
115,89,47,638.0
116,89,49,686.0
117,90,51,736.0
118,89,51,787.0
119,89,53,840.0
120,90,56,895.0
121,89,56,951.0
122,91,59,1008.0
123,91,60,1067.0
124,92,62,1128.0
125,94,64,1190.0
126,95,65,1254.0
127,96,66,1319.0
128,96,67,1386.0
129,98,71,1455.0
130,98,68,1488.0
131,99,70,1522.0
132,99,71,1559.0
133,100,72,1596.0
134,101,74,1632.0
135,101,69,1462.0
136,101,66,1308.0
137,102,63,1166.0
138,101,58,1036.0
139,101,55,924.0
140,99,50,847.0
141,100,48,788.0
142,102,52,798.0
143,102,47,748.0
144,102,48,706.0
145,103,50,690.0
146,105,53,712.0
147,104,50,653.0
148,104,52,623.0
149,105,52,599.0
150,105,52,581.0
151,107,54,599.0
152,109,57,593.0
153,110,59,600.0
154,110,61,621.0
155,111,66,651.0
156,112,69,690.0
157,112,74,764.0
158,113,75,814.0
159,115,78,870.0
160,117,77,927.0
161,118,79,987.0
162,119,83,1057.0
163,119,81,1126.0
164,119,82,1197.0
165,121,86,1271.0
166,121,85,1347.0
167,122,90,1427.0
168,124,93,1511.0
169,124,94,1605.0
170,125,97,1695.0
171,127,100,1793.0
172,127,101,1894.0
173,128,105,1997.0
174,128,103,2100.0
175,128,105,2205.0
176,129,107,2310.0
177,130,109,2418.0
178,131,110,2526.0
179,132,111,2636.0
180,133,107,2464.0
181,134,101,2297.0
182,135,96,2145.0
183,134,92,2003.0
184,134,90,1868.0
185,134,84,1740.0
186,134,82,1645.0
187,134,78,1600.0
188,136,76,1519.0
189,136,71,1479.0
190,135,70,1407.0
191,134,68,1374.0
192,134,70,1435.0
193,135,71,1454.0
194,134,69,1485.0
195,133,72,1511.0
196,132,74,1537.0
197,133,79,1606.0
198,134,81,1647.0
199,134,81,1691.0
200,135,83,1737.0
201,137,84,1783.0
202,138,84,1831.0
203,137,84,1880.0
204,138,85,1929.0
205,139,88,1983.0
206,139,88,2038.0
207,138,89,2104.0
208,139,90,2174.0
209,139,90,2245.0
210,140,96,2322.0
211,140,98,2403.0
212,140,101,2486.0
213,140,100,2569.0
214,140,100,2649.0
215,141,101,2746.0
216,141,101,2828.0
217,142,104,2915.0
218,143,104,3003.0
219,144,104,3089.0
220,145,106,3179.0
221,145,106,3271.0
222,145,106,3333.0
223,145,110,3399.0
224,145,109,3467.0
225,146,109,3355.0
226,148,109,3264.0
227,147,104,3181.0
228,146,102,3114.0
229,146,102,3064.0
230,145,101,3027.0
231,145,99,3000.0
232,146,100,2975.0
233,146,99,2970.0
234,146,99,2970.0
235,149,100,3009.0
236,150,98,2987.0
237,150,98,2968.0
238,151,100,2961.0
239,150,98,2954.0
240,149,100,2949.0
241,149,103,2970.0
242,150,104,2970.0
243,151,105,2973.0
244,151,106,2979.0
245,152,111,3065.0
246,153,113,3096.0
247,153,114,3110.0
248,153,113,3115.0
249,154,114,3140.0
250,156,119,3148.0
251,157,117,3176.0
252,156,118,3209.0
253,156,119,3245.0
254,157,122,3283.0
255,157,126,3329.0
256,158,124,3371.0
257,158,125,3418.0
258,158,126,3466.0
259,159,130,3592.0
260,160,130,3644.0
261,161,131,3692.0
262,162,133,3744.0
263,163,133,3797.0
264,163,135,3857.0
265,163,137,3991.0
266,164,138,4054.0
267,165,139,4121.0
268,165,139,4190.0
269,166,140,4269.0
270,166,136,4127.0
271,166,135,4096.0
272,167,130,4057.0
273,166,129,4031.0
274,166,124,4011.0
275,166,124,4005.0
276,166,123,4032.0
277,166,124,4061.0
278,167,122,4091.0
279,166,121,4212.0
280,166,121,4255.0
281,166,121,4298.0
282,166,122,4379.0
283,165,122,4460.0
284,168,126,4542.0
285,169,126,4626.0
286,168,124,4708.0
287,168,127,4794.0
288,169,128,4921.0
289,167,128,5010.0
290,166,129,5100.0
291,166,132,5194.0
292,166,133,5289.0
293,165,134,5385.0
294,165,136,5485.0
295,166,138,5587.0
296,166,138,5652.0
297,166,138,5718.0
298,166,136,5760.0
299,166,138,5804.0
300,167,141,5849.0
301,167,137,5866.0
302,167,136,5882.0
303,167,135,5899.0
304,167,135,5950.0
305,167,135,5994.0
306,167,135,6040.0
307,169,136,6080.0
308,169,134,6119.0
309,169,135,6162.0
310,168,136,6225.0
311,167,136,6269.0
312,168,137,6334.0
313,169,140,6473.0
314,170,141,6541.0
315,171,139,6475.0
316,171,137,6376.0
317,171,137,6288.0
318,171,133,6201.0
319,172,130,6200.0
320,172,131,6239.0
321,175,132,6277.0
322,175,130,6322.0
323,175,130,6370.0
324,177,133,6438.0
325,177,132,6488.0
326,177,134,6535.0
327,180,137,6601.0
328,180,136,6669.0
329,180,136,6738.0
330,183,141,6810.0
331,183,139,6883.0
332,183,142,6959.0
333,184,143,7036.0
334,184,146,7118.0
335,185,149,7202.0
336,186,151,7288.0
337,186,151,7367.0
338,185,155,7451.0
339,187,158,7537.0
340,187,156,7624.0
341,186,158,7713.0
342,187,161,7806.0
343,187,160,7900.0
344,187,162,8062.0
345,187,165,8159.0
346,189,168,8259.0
347,189,167,8361.0
348,190,170,8465.0
349,192,170,8567.0
350,191,169,8672.0
351,191,170,8778.0
352,193,173,8949.0
353,193,170,9054.0
354,193,171,9161.0
355,194,174,9270.0
356,193,176,9446.0
357,193,176,9558.0
358,193,176,9670.0
359,193,178,9785.0
360,194,177,9859.0
361,194,176,9936.0
362,194,176,10013.0
363,194,176,10092.0
364,194,175,10187.0
365,195,175,10284.0
366,195,174,10424.0
367,195,175,10565.0
368,195,175,10706.0
369,196,177,10882.0
370,196,176,11024.0
371,196,178,11168.0
372,196,178,11173.0
373,196,175,11129.0
374,198,178,11088.0
375,198,175,11047.0
376,198,176,11011.0
377,199,178,10977.0
378,199,177,10940.0
379,199,177,11052.0
380,199,177,11086.0
381,200,178,11058.0
382,200,176,11031.0
383,201,176,11003.0
384,201,175,10996.0
385,201,175,11109.0
386,201,175,11114.0
387,201,174,11131.0
388,201,173,11149.0
389,200,174,11229.0
390,201,175,11345.0
391,201,172,11368.0
392,201,171,11393.0
393,202,170,11417.0
394,202,170,11503.0
395,202,170,11616.0
396,203,172,11645.0
397,204,171,11676.0
398,204,171,11765.0
399,204,171,11804.0
400,204,170,11838.0
401,204,169,11874.0
402,205,169,11912.0
403,205,168,11951.0
404,205,166,11996.0
405,205,162,11884.0
406,205,160,11774.0
407,205,157,11667.0
408,206,157,11561.0
409,206,155,11457.0
410,206,155,11357.0
411,206,155,11307.0
412,206,154,11259.0
413,206,153,11214.0
414,206,151,11240.0
415,206,151,11214.0
416,206,149,11197.0
417,206,149,11186.0
418,207,150,11192.0
419,207,151,11221.0
420,207,151,11261.0
421,207,153,11306.0
422,207,155,11356.0
423,208,156,11431.0
424,208,156,11509.0
425,208,160,11592.0
426,207,159,11675.0
427,208,162,11762.0
428,208,161,11842.0
429,208,163,11927.0
430,208,163,12013.0
431,210,165,12100.0
432,210,165,12190.0
433,209,166,11982.0
434,210,166,11767.0
435,210,164,11551.0
436,210,166,11347.0
437,210,168,11147.0
438,211,170,10998.0
439,210,170,10861.0
440,210,170,10744.0
441,210,174,10727.0
442,211,177,10660.0
443,211,180,10600.0
444,211,180,10543.0
445,212,184,10662.0
446,212,186,10786.0
447,212,189,10974.0
448,213,190,11100.0
449,213,191,11230.0
450,213,191,11290.0
451,213,192,11414.0
452,213,190,11474.0
453,214,190,11552.0
454,214,188,11632.0
455,213,188,11715.0
456,214,189,11841.0
457,215,189,11991.0
458,215,186,12115.0
459,216,187,12239.0
460,217,189,12368.0
461,216,190,12534.0
462,217,191,12612.0
463,217,192,12694.0
464,218,193,12778.0
465,219,192,12861.0
466,219,191,12948.0
467,219,192,13037.0
468,220,195,13129.0
469,221,196,13251.0
470,221,195,13344.0
471,221,195,13437.0
472,221,196,13604.0
473,221,197,13698.0
474,221,199,13825.0
475,220,199,13621.0
476,220,196,13454.0
477,220,195,13282.0
478,220,196,13132.0
479,219,196,13060.0
480,218,195,12925.0
481,218,193,12828.0
482,218,192,12748.0
483,218,191,12689.0
484,218,191,12633.0
485,219,190,12720.0
486,219,191,12822.0
487,219,190,12893.0
488,220,191,12982.0
489,221,193,13061.0
490,221,190,13137.0
491,221,191,13218.0
492,222,194,13303.0
493,223,193,13386.0
494,223,196,13475.0
495,223,194,13428.0
496,223,195,13385.0
497,223,194,13341.0
498,223,191,13302.0
499,223,193,13264.0
500,223,191,13250.0
501,223,195,13242.0
502,224,196,13300.0
503,224,195,13291.0
504,224,195,13283.0
505,225,199,13341.0
506,225,195,13337.0
507,225,196,13346.0
508,225,199,13407.0
509,225,197,13440.0
510,225,195,13475.0
511,226,198,13548.0
512,226,199,13638.0
513,227,201,13747.0
514,228,202,13876.0
515,228,202,14008.0
516,228,202,14139.0
517,228,203,14273.0
518,228,205,14409.0
519,228,205,14540.0
520,228,207,14674.0
521,227,207,14809.0
522,227,205,14943.0
523,226,207,15081.0
524,226,208,15221.0
525,227,208,15361.0
526,227,207,15503.0
527,227,209,15647.0
528,227,211,15791.0
529,227,208,15933.0
530,227,208,16139.0
531,227,208,16282.0
532,227,209,16428.0
533,227,209,16574.0
534,227,212,16786.0
535,226,213,16937.0
536,227,214,17088.0
537,227,213,17239.0
538,228,214,17392.0
539,228,214,17547.0
540,227,214,17702.0
541,229,216,17873.0
542,229,214,18087.0
543,229,214,18261.0
544,228,213,18135.0
545,228,213,18011.0
546,228,211,17887.0
547,228,210,17801.0
548,228,211,17719.0
549,228,212,17644.0
550,228,212,17573.0
551,228,213,17505.0
552,229,213,17438.0
553,229,212,17374.0
554,229,213,17318.0
555,229,214,17532.0
556,228,214,17480.0
557,228,214,17429.0
558,228,215,17381.0
559,228,214,17335.0
560,228,215,17292.0
561,228,214,17251.0
562,228,216,17246.0
563,228,215,17254.0
564,228,216,17268.0
565,228,218,17486.0
566,229,218,17531.0
567,229,218,17580.0
568,229,217,17630.0
569,229,217,17684.0
570,229,219,17903.0
571,229,219,17968.0
572,229,219,18074.0
573,229,218,18179.0
574,229,218,18284.0
575,229,218,18390.0
576,229,217,18496.0
577,229,217,18603.0
578,229,217,18710.0
579,229,217,18819.0
580,229,217,18928.0
581,229,218,19038.0
582,229,219,19257.0
583,229,220,19368.0
584,229,220,19479.0
585,229,220,19511.0
586,229,219,19543.0
587,229,218,19574.0
588,229,216,19605.0
589,229,216,19744.0
590,229,215,19774.0
591,229,215,19806.0
592,229,214,19838.0
593,229,213,19871.0
594,229,215,19906.0
595,229,213,20043.0
596,229,215,20153.0
597,229,215,20262.0
598,230,217,20374.0
599,230,217,20477.0
600,230,217,20581.0
601,230,216,20685.0
602,231,216,20788.0
603,231,218,20895.0
604,231,219,21004.0
605,231,219,20814.0
606,230,219,20626.0
607,229,218,20139.0
608,229,216,19654.0
609,229,215,19169.0
610,229,214,18676.0
611,229,211,18186.0
612,229,211,17706.0
613,229,211,17276.0
614,229,210,16846.0
615,229,209,16422.0
616,229,207,16223.0
617,229,208,16035.0
618,229,209,16072.0
619,229,209,15886.0
620,229,208,15923.0
621,230,211,16040.0
622,231,211,16158.0
623,231,211,16279.0
624,231,212,16403.0
625,231,213,16528.0
626,231,212,16653.0
627,231,214,16782.0
628,231,216,16973.0
629,231,218,17107.0
630,231,214,17199.0
631,231,213,17292.0
632,231,211,17410.0
633,231,209,17528.0
634,231,211,17667.0
635,231,211,17790.0
636,231,210,17968.0
637,231,209,18092.0
638,231,209,18283.0
639,231,208,18404.0
640,231,206,18524.0
641,230,207,18661.0
642,230,208,18781.0
643,230,210,18933.0
644,230,210,19076.0
645,231,213,19223.0
646,231,213,19371.0
647,230,212,19518.0
648,232,215,19669.0
649,232,214,19820.0
650,232,215,19974.0
651,233,215,20127.0
652,233,218,20284.0
653,233,218,20441.0
654,232,219,20600.0
655,232,221,20821.0
656,232,222,20983.0
657,232,225,21208.0
658,232,225,21371.0
659,232,225,21535.0
660,232,224,21698.0
661,232,224,21860.0
662,232,223,22024.0
663,232,223,22187.0
664,232,223,22350.0
665,232,224,22574.0
666,232,223,22737.0
667,232,223,22900.0
668,232,222,23064.0
669,232,222,23229.0
670,232,223,23395.0
671,232,221,23361.0
672,232,219,23325.0
673,232,218,23292.0
674,232,217,23260.0
675,232,216,23228.0
676,232,216,23199.0
677,232,215,23169.0
678,232,214,23139.0
679,232,216,23111.0
680,232,217,23085.0
681,232,217,23060.0
682,232,215,23029.0
683,232,216,23179.0
684,232,217,23330.0
685,232,218,23483.0
686,233,220,23637.0
687,233,220,23791.0
688,233,221,23947.0
689,233,223,24107.0
690,233,224,24268.0
691,233,224,24429.0
692,233,225,24593.0
693,233,224,24751.0
694,233,225,24911.0
695,233,225,25070.0
696,233,224,25231.0
697,233,224,25392.0
698,234,224,25551.0
699,234,225,25714.0
700,234,224,25877.0
701,234,225,26041.0
702,234,224,26205.0
703,234,225,26370.0
704,234,226,26596.0
705,234,227,26823.0
706,235,229,27051.0
707,235,228,27279.0
708,235,229,27508.0
709,235,230,27738.0
710,235,231,27969.0
711,235,231,28200.0
712,235,232,28432.0
713,235,233,28665.0
714,235,233,28898.0
715,235,234,29132.0
716,235,235,29366.0
717,235,234,29600.0
718,235,234,29834.0
719,235,234,30068.0
720,235,234,30302.0
721,235,234,30536.0
722,235,234,30770.0
723,236,235,31004.0
724,236,234,31238.0
725,236,234,31472.0
726,236,234,31706.0
727,236,234,31940.0
728,236,234,32174.0
729,236,234,32408.0
730,236,234,32642.0
731,236,234,32876.0
732,236,234,33110.0
733,236,234,33344.0
734,236,234,33578.0
735,236,234,33812.0
736,235,234,34046.0
737,234,233,33979.0
738,234,232,33913.0
739,234,231,33847.0
740,234,230,33780.0
741,234,229,33712.0
742,233,229,33645.0
743,233,228,33578.0
744,234,229,33511.0
745,234,227,33443.0
746,234,227,33376.0
747,234,227,33603.0
748,234,226,33534.0
749,234,226,33466.0
750,234,227,33693.0
751,234,228,33921.0
752,235,229,34149.0
753,235,230,34379.0
754,235,229,34607.0
755,235,231,34838.0
756,235,231,35069.0
757,235,233,35302.0
758,235,233,35535.0
759,235,233,35768.0
760,235,234,36002.0
761,235,234,36236.0
762,235,234,36470.0
763,235,234,36704.0
764,234,234,36938.0
765,234,234,37172.0
766,234,234,37406.0
767,234,234,37640.0
768,233,233,37573.0
769,233,232,37505.0
770,233,231,37437.0
771,233,230,37369.0
772,233,229,37301.0
773,233,229,37234.0
774,233,229,37167.0
775,233,228,37099.0
776,233,228,37327.0
777,233,228,37260.0
778,233,228,37193.0
779,233,228,37125.0
780,233,228,37059.0
781,233,227,36991.0
782,233,226,36924.0
783,233,226,36858.0
784,233,225,36792.0
785,233,224,36725.0
786,233,225,36659.0
787,233,225,36595.0
788,233,225,36531.0
789,233,225,36467.0
790,233,225,36692.0
791,233,225,36627.0
792,233,225,36563.0
793,233,225,36499.0
794,233,224,36423.0
795,233,224,36348.0
796,233,224,36273.0
797,233,223,36198.0
798,233,223,36124.0
799,233,224,36051.0
800,233,224,35979.0
801,233,224,35907.0
802,233,225,35838.0
803,233,226,35769.0
804,233,225,35701.0
805,233,225,35626.0
806,233,225,35551.0
807,233,226,35479.0
808,233,225,35407.0
809,233,225,35335.0
810,233,225,35226.0
811,233,225,35117.0
812,232,223,34710.0
813,232,222,34303.0
814,232,221,34191.0
815,232,221,33820.0
816,232,219,33413.0
817,232,218,33008.0
818,232,217,32609.0
819,232,220,32513.0
820,232,220,32425.0
821,232,220,32370.0
822,232,218,32301.0
823,232,220,32487.0
824,231,222,32409.0
825,232,224,32298.0
826,232,223,32188.0
827,232,222,32078.0
828,232,221,31969.0
829,232,222,31861.0
830,232,221,31754.0
831,232,223,31649.0
832,232,220,31543.0
833,232,223,31472.0
834,232,222,31367.0
835,231,222,31131.0
836,231,221,30863.0
837,231,219,30597.0
838,231,217,30330.0
839,231,217,30096.0
840,231,218,29864.0
841,231,218,29634.0
842,231,219,29406.0
843,231,219,29177.0
844,231,218,28947.0
845,231,218,28717.0
846,231,219,28784.0
847,231,219,28710.0
848,231,219,28636.0
849,231,220,28563.0
850,232,221,28490.0
851,233,220,28417.0
852,233,221,28348.0
853,233,222,28570.0
854,233,225,28503.0
855,233,224,28436.0
856,233,225,28370.0
857,233,224,28304.0
858,233,225,28529.0
859,233,225,28489.0
860,233,225,28462.0
861,233,223,28475.0
862,233,223,28690.0
863,233,224,28914.0
864,233,226,29140.0
865,233,225,29364.0
866,233,227,29591.0
867,233,227,29818.0
868,233,227,30045.0
869,233,228,30273.0
870,233,229,30502.0
871,233,230,30732.0
872,233,231,30963.0
873,233,232,31195.0
874,233,233,31428.0
875,233,233,31661.0
876,233,233,31894.0
877,233,233,32127.0
878,233,233,32360.0
879,233,233,32593.0
880,233,233,32826.0
881,233,233,33059.0
882,233,233,33292.0
883,233,233,33525.0
884,233,233,33758.0
885,233,233,33991.0
886,233,233,34224.0
887,233,233,34457.0
888,233,233,34690.0
889,233,233,34923.0
890,233,233,35156.0
891,233,233,35389.0
892,233,233,35622.0
893,233,233,35855.0
894,233,233,36088.0
895,233,233,36321.0
896,233,233,36554.0
897,233,233,36787.0
898,233,233,37020.0
899,233,233,37253.0
900,233,233,37486.0
901,233,233,37719.0
902,233,233,37952.0
903,233,233,38185.0
904,233,233,38418.0
905,233,233,38651.0
906,233,233,38884.0
907,233,233,39117.0
908,233,233,39350.0
909,233,233,39583.0
910,233,233,39816.0
911,233,233,40049.0
912,233,233,40282.0
913,233,233,40515.0
914,233,233,40748.0
915,233,233,40981.0
916,233,233,41214.0
917,233,233,41447.0
918,233,233,41680.0
919,233,233,41913.0
920,233,233,42146.0
921,232,232,42078.0
922,232,231,42010.0
923,232,230,41942.0
924,232,229,41874.0
925,232,228,41805.0
926,232,228,41736.0
927,232,227,41667.0
928,232,227,41598.0
929,232,226,41529.0
930,232,226,41460.0
931,232,225,41391.0
932,231,224,41021.0
933,231,223,40945.0
934,231,222,40575.0
935,231,221,40204.0
936,231,219,39832.0
937,231,220,39754.0
938,231,219,39382.0
939,231,218,39009.0
940,231,218,38639.0
941,231,216,38265.0
942,231,215,37891.0
943,231,215,37219.0
944,231,215,37143.0
945,232,216,37068.0
946,232,217,36995.0
947,232,217,36922.0
948,231,215,36331.0
949,232,215,35872.0
950,231,213,35112.0
951,231,211,34352.0
952,231,208,33590.0
953,230,208,32831.0
954,230,208,32074.0
955,229,208,31318.0
956,229,205,30561.0
957,229,204,29804.0
958,229,201,29339.0
959,230,200,28975.0
960,230,199,28907.0
961,230,199,28543.0
962,230,198,28183.0
963,230,197,27822.0
964,230,198,27463.0
965,230,199,27107.0
966,230,197,26751.0
967,230,197,26395.0
968,230,198,26041.0
969,230,199,25684.0
970,230,197,25461.0
971,231,201,25242.0
972,232,201,25024.0
973,232,204,25102.0
974,232,204,24891.0
975,232,207,24683.0
976,232,207,24176.0
977,232,208,24080.0
978,232,207,23858.0
979,232,208,23637.0
980,232,207,23417.0
981,232,208,23204.0
982,232,207,22992.0
983,232,208,22782.0
984,232,209,22694.0
985,232,206,22482.0
986,233,206,22271.0
987,233,206,22056.0
988,233,205,21838.0
989,233,206,21745.0
990,233,203,21111.0
991,233,202,20521.0
992,233,203,20056.0
993,232,201,19470.0
994,232,198,18883.0
995,232,196,18295.0
996,231,195,17709.0
997,231,194,17211.0
998,231,196,16879.0
999,230,194,16521.0
